question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,exam_id,subject_id,topic,year,source_detail,source_type,verified
"If $$\int x^2 dx = \frac{x^3}{3} + C$$, what is $$\int 3x^2 dx$$?","$$x^3 + C$$","$$3x^3 + C$$","$$\frac{x^3}{3} + C$$","$$9x^2 + C$$","0","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"The limit $$\lim_{x \to 0} \frac{\sin x}{x}$$ equals:","1","0","∞","Does not exist","0","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"Find the derivative of $$f(x) = e^{2x}$$","$$e^{2x}$$","$$2e^{2x}$$","$$2e^x$$","$$e^x$$","1","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"The sum of an infinite geometric series with first term 1 and common ratio 1/2 is:","1","2","3","∞","1","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"If matrix A is 3×2 and matrix B is 2×4, what is the dimension of AB?","3×4","2×2","3×2","Cannot be multiplied","0","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"The determinant of a 2×2 identity matrix is:","0","1","2","4","1","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"What is the value of $$\log_2 8$$?","2","3","4","8","1","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"The mean of 5, 10, 15, 20, 25 is:","12.5","15","17.5","20","1","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"If P(A) = 0.3 and P(B) = 0.4, and A and B are independent, then P(A ∩ B) is:","0.12","0.7","0.1","0.5","0","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"The area of a triangle with vertices (0,0), (4,0), and (0,3) is:","6","12","7","8","0","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"Solve for x: $$2^x = 32$$","4","5","6","16","1","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"The number of permutations of 5 distinct objects is:","25","60","120","720","2","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"What is $$\cos(90°)$$?","0","1","$$\frac{1}{2}$$","$$\frac{\sqrt{3}}{2}$$","0","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"The slope of a line perpendicular to y = 2x + 3 is:","2","-2","$$-\frac{1}{2}$$","$$\frac{1}{2}$$","2","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"If f(x) = $$x^2 + 3x + 2$$, then f(2) equals:","8","10","12","14","2","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"The solution to $$x^2 - 5x + 6 = 0$$ is:","x = 1, 6","x = 2, 3","x = -2, -3","x = -1, -6","1","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"The variance of the data set {2, 4, 6, 8, 10} is:","6","8","10","12","1","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"How many diagonals does a hexagon have?","6","9","12","15","1","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"The value of $$\sqrt{144}$$ is:","10","11","12","13","2","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"If log 2 = 0.3010, then log 8 equals:","0.6020","0.9030","1.2040","2.4080","1","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"The modulus of the complex number 3 + 4i is:","5","7","12","25","0","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"The sum of the series 1 + 2 + 3 + ... + 50 is:","1250","1275","1325","1225","1","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"The HCF of 24 and 36 is:","6","12","18","72","1","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"If $$\sin\theta = \frac{3}{5}$$, then $$\cos\theta$$ in first quadrant is:","$$\frac{4}{5}$$","$$\frac{3}{4}$$","$$\frac{5}{4}$$","$$\frac{5}{3}$$","0","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"The number of ways to arrange the letters of the word 'BOOK' is:","12","24","4","6","0","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"The volume of a cube with side 3 cm is:","9 cm³","18 cm³","27 cm³","81 cm³","2","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"The sum of angles in a pentagon is:","360°","450°","540°","720°","2","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"If $$a^2 + b^2 = 25$$ and ab = 12, then (a + b)² equals:","37","49","13","25","1","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"The reciprocal of $$\frac{2}{7}$$ is:","$$\frac{7}{2}$$","$$\frac{2}{7}$$","$$-\frac{2}{7}$$","$$-\frac{7}{2}$$","0","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"The value of $$\tan(45°)$$ is:","0","1","$$\sqrt{3}$$","$$\frac{1}{\sqrt{3}}$$","1","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"The median of {1, 3, 5, 7, 9} is:","3","5","6","7","1","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"If f(x) = 2x + 1, then f(f(x)) equals:","4x + 1","4x + 2","4x + 3","2x + 2","2","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"The LCM of 12 and 18 is:","6","36","54","72","1","","medium","nimcet_mock2","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"Complete the series: 2, 6, 12, 20, 30, ?","40","42","44","46","1","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"If APPLE is coded as CRRNG, how is ORANGE coded?","QTCPIG","QSBOIG","QTCPGI","QSBOGI","0","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"Find the odd one out: 3, 5, 11, 14, 17, 21","21","14","3","5","1","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"If all roses are flowers and some flowers are red, which conclusion is valid?","All roses are red","Some roses are red","Some flowers are roses","None can be concluded","3","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"Complete: ACE, BDF, CEG, ?","DFH","DEF","EFG","FGH","0","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"If A is taller than B and B is taller than C, then:","C is tallest","A is tallest","B is shortest","Cannot be determined","1","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"Mirror image of BOAT is:","TAOB","TA08","TA0Я","ᏮOAT","2","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"Number of triangles in a pentagram is:","5","10","15","35","3","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"In a code, if 1 = A, 2 = B, what is 26?","Y","Z","X","W","1","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"Complete the analogy: Book : Pages :: Tree : ?","Branches","Leaves","Fruits","Forest","1","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"Find next in series: 1, 4, 9, 16, 25, ?","30","36","42","49","1","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"If FRIEND is coded as HUMJTK, then CANDLE is:","EDRIRL","DCQHKD","EDRPNG","ECQNGK","2","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"Which day comes 3 days after Monday?","Wednesday","Thursday","Friday","Saturday","1","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"Find the missing number: 5, 10, 20, 40, ?, 160","60","70","80","90","2","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"Clock shows 3:00. What is the angle between hour and minute hands?","60°","75°","90°","105°","2","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"In a family, A is B's sister. B is C's brother. How is A related to C?","Sister","Brother","Cousin","Cannot be determined","3","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"Complete: 2, 3, 5, 7, 11, ?","12","13","14","15","1","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"If South-East becomes North, what will West become?","North-East","North-West","South-West","South-East","0","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"Water : Ice :: Liquid : ?","Vapour","Solid","Gas","Steam","1","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"How many squares are in a 4×4 grid?","16","20","24","30","3","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"Find the next letter: A, D, G, J, ?","K","L","M","N","2","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"If CAT = 24, DOG = 26, then COW = ?","42","43","44","45","1","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"A man walks 5km North, then 3km East. How far is he from start?","4 km","$$\sqrt{34}$$ km","8 km","15 km","1","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"Find odd one: Carrot, Potato, Tomato, Radish","Carrot","Potato","Tomato","Radish","2","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
"Complete: AB, DE, HI, MN, ?","OP","QR","ST","TU","2","","medium","nimcet_mock2","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET MCA Mock Test 2)","community","false"
