question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,exam_id,subject_id,topic,year,source_detail,source_type,verified
"Who is known as the Father of the Indian Constitution?","B. R. Ambedkar","Jawaharlal Nehru","Sardar Patel","Rajendra Prasad","0","NEEDS_AI_EXPLANATION","medium","upsc-cse","upsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Which Article of the Indian Constitution deals with Fundamental Duties?","Article 32","Article 51A","Article 19","Article 21","1","NEEDS_AI_EXPLANATION","medium","upsc-cse","upsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"The Finance Commission is constituted under which Article?","Article 324","Article 280","Article 356","Article 312","1","NEEDS_AI_EXPLANATION","medium","upsc-cse","upsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"In which year was the Planning Commission of India established?","1947","1950","1951","1952","2","NEEDS_AI_EXPLANATION","medium","upsc-cse","upsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Which schedule of the Constitution deals with Panchayats?","7th Schedule","8th Schedule","9th Schedule","11th Schedule","3","NEEDS_AI_EXPLANATION","medium","upsc-cse","upsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"The term 'GDP' stands for?","Gross Domestic Product","General Domestic Product","Gross Development Plan","General Development Product","0","NEEDS_AI_EXPLANATION","medium","upsc-cse","upsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"The Inter-State Council is established under which Article?","Article 263","Article 262","Article 370","Article 312","0","NEEDS_AI_EXPLANATION","medium","upsc-cse","upsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Headquarters of the International Court of Justice is located at","Geneva","Hague","New York","Paris","1","NEEDS_AI_EXPLANATION","medium","upsc-cse","upsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Which of the following is a non-renewable energy resource?","Solar","Wind","Coal","Biomass","2","NEEDS_AI_EXPLANATION","medium","upsc-cse","upsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Who wrote the book 'Arthashastra'?","Kautilya","Kalidasa","Banabhatta","Megasthenes","0","NEEDS_AI_EXPLANATION","medium","upsc-cse","upsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Bihar was carved out of which province in 1912?","Bombay Presidency","Madras Presidency","Bengal Presidency","United Provinces","2","NEEDS_AI_EXPLANATION","medium","upsc-cse","bpsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"The capital of the Wajir dynasty of Bihar was","Rajgir","Pataliputra","Vaishali","Bettiah","2","NEEDS_AI_EXPLANATION","medium","upsc-cse","bpsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Who founded the Satyagraha Ashram at Champaran?","Mahatma Gandhi","Rajendra Prasad","Anugrah Narayan Sinha","Jayaprakash Narayan","0","NEEDS_AI_EXPLANATION","medium","upsc-cse","bpsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Which river forms the boundary between Bihar and Jharkhand in parts?","Kosi","Son","Gandak","Punpun","1","NEEDS_AI_EXPLANATION","medium","upsc-cse","bpsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Vikramshila University was founded by which ruler?","Dharmapala","Harsha","Ashoka","Samudragupta","0","NEEDS_AI_EXPLANATION","medium","upsc-cse","bpsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Bettiah is famous for which folk art?","Madhubani Painting","Manjusha Art","Tikuli Art","Sujori Painting","0","NEEDS_AI_EXPLANATION","medium","upsc-cse","bpsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Who is known as 'Bihar Kesari'?","Dr. Rajendra Prasad","Sri Krishna Sinha","Anugrah Narayan Sinha","Jayaprakash Narayan","1","NEEDS_AI_EXPLANATION","medium","upsc-cse","bpsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"The 'Lichchhavi' republic had its capital at","Rajgir","Vaishali","Nalanda","Pataliputra","1","NEEDS_AI_EXPLANATION","medium","upsc-cse","bpsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"The official language of Bihar is","Hindi","Maithili","Bhojpuri","Magahi","0","NEEDS_AI_EXPLANATION","medium","upsc-cse","bpsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Which wildlife sanctuary is located in West Champaran?","Valmiki Tiger Reserve","Kaimur Sanctuary","Bhagwanpur Sanctuary","Udhwa Lake","0","NEEDS_AI_EXPLANATION","medium","upsc-cse","bpsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"The smallest prime number is","0","1","2","3","2","NEEDS_AI_EXPLANATION","medium","general-knowledge","gk","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Which planet is known as the Red Planet?","Venus","Mars","Jupiter","Saturn","1","NEEDS_AI_EXPLANATION","medium","general-knowledge","gk","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Chemical symbol of Gold is","Ag","Au","Gd","Go","1","NEEDS_AI_EXPLANATION","medium","general-knowledge","gk","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
