question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,exam_id,subject_id,topic,year,source_detail,source_type,verified
"Evaluate: $\int \frac{2x + 3}{x^2 + 3x + 2} dx$","$\ln|x+1| + \ln|x+2| + C$","$2\ln|x+1| - \ln|x+2| + C$","$\ln|x+1| - \ln|x+2| + C$","$\ln|x+2| - \ln|x+1| + C$","1","Using partial fractions:
$\frac{2x+3}{(x+1)(x+2)} = \frac{A}{x+1} + \frac{B}{x+2}$
Solving: A=1, B=1
Integrating gives: $2\ln|x+1| - \ln|x+2| + C$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Find $\lim_{x \to 0} \frac{e^x - e^{-x}}{\sin x}$","0","1","2","$\infty$","2","Using L'Hôpital's rule:
$\lim_{x \to 0} \frac{e^x + e^{-x}}{\cos x} = \frac{2}{1} = 2$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Find the derivative of $f(x) = x^x$ for $x > 0$","$x^x$","$x^x(1 + \ln x)$","$x^{x-1}$","$x^x \ln x$","1","$\ln y = x\ln x$
$\frac{1}{y}\frac{dy}{dx} = \ln x + 1$
$\frac{dy}{dx} = x^x(1 + \ln x)$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Sum of infinite GP with first term 6 and common ratio $-\frac{1}{3}$ is:","$\frac{9}{2}$","$\frac{18}{4}$","$\frac{9}{4}$","Does not converge","0","Sum = $\frac{a}{1-r} = \frac{6}{1-(-1/3)} = \frac{6}{4/3} = \frac{9}{2}$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"If matrices $A$ is $3 \times 4$ and $B$ is $4 \times 2$, what is rank of $AB$ at most?","2","3","4","6","0","rank(AB) ≤ min(rank(A), rank(B)) ≤ min(3, 2) = 2","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"The eigenvalues of $\begin{bmatrix} 5 & 2 \\ 2 & 5 \end{bmatrix}$ are:","3, 7","7, 3","5, 5","Both 1 and 2","3","Characteristic equation: $(5-\lambda)^2 - 4 = 0
\lambda^2 - 10\lambda + 21 = 0
\lambda = 7, 3$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"What is $\log_3 81 + \log_2 32$?","7","8","9","10","2","$\log_3 81 = \log_3 3^4 = 4$
$\log_2 32 = \log_2 2^5 = 5$
Sum = 9","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"The arithmetic mean of 10, 20, 30, 40, 50 is 30. What is the geometric mean?","25.7","26.3","27.8","30","2","GM = $(10 \times 20 \times 30 \times 40 \times 50)^{1/5}$
$= (12000000)^{0.2} \approx 27.8$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"If $P(A) = 0.4$, $P(B) = 0.5$, and $P(A \cap B) = 0.2$, find $P(A \cup B)$","0.6","0.7","0.8","0.9","1","$P(A \cup B) = P(A) + P(B) - P(A \cap B)$
$= 0.4 + 0.5 - 0.2 = 0.7$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Area of triangle with vertices $(0,0)$, $(6,0)$, and $(3,4)$ is:","10","12","14","16","1","Area = $\frac{1}{2}|x_1(y_2-y_3) + x_2(y_3-y_1) + x_3(y_1-y_2)|$
$= \frac{1}{2}|0 + 6(4) + 0| = 12$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
