question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,exam_id,subject_id,topic,year,source_detail,source_type,verified
"Let  ,  ,   and   be the coefficients of x 7 , x 5 , x 3  and x respectively in the expansion of  , x > 1. If u and v  satisfy the equations  u +  v = 18, u +  v = 20, then u + v equals :","5","4","3","8","0","Sol.  = 2{ 5 C 0 .x 5  +  5 C 2 .x 3 (x 3    1) +  5 C 4 .x(x 3   1) 2 } = 2{5x 7  + 10x 6  +x 5   10x 4    10x 3  + 5x}   = 10,   = 2,    =  20,   = 10 Now, 10u + 2v= 18  20u + 10v = 20 u = 1, v = 4 u + v = 5","hard","jee-main","mathematics","Mathematics","2025","JEE Main 2025 Jan 22 Shift 2 (GitHub: nitish-bhai/JEE-MAINS-CONTENT)","official","true"
"In a group of 3 girls and 4 boys, there are two boys B 1  and B 2 . The number of ways, in which these  girls and boys can stand i n a queue such t hat all the   girls stand together , all the boys stand toget her , but   B 1  and B 2  are not adjacent  to each other , is :","144","72","96","120","0","Sol.  Total   when B 1   and B 2  are together  =  2!(3! 4 !)   2! (3!(3! 2 !) ) = 144","hard","jee-main","mathematics","Mathematics","2025","JEE Main 2025 Jan 22 Shift 2 (GitHub: nitish-bhai/JEE-MAINS-CONTENT)","official","true"
"For a 3 × 3 matrix M, let trace (M)  denote the sum of all the diagonal  el ements of M. Let A be a 3 × 3 matrix such that  |A| =   and trace (A) = 3. If  B = adj (adj(2A)), then the val ue of|B| + trace(B) equals:","56","132","174","280","3","Sol.  |A|= , trace(A) = 3, B = adj(adj (2A))=|2A| n 2 (2A)  n = 3, B = |2A|(2A) = 2 3 .|A|(2A) =8A  |B| = |8A| = 8 3 .|A| = 2 8  = 256  trace(B) = 8trace(A) =24  |B| + t race( B) = 280","hard","jee-main","mathematics","Mathematics","2025","JEE Main 2025 Jan 22 Shift 2 (GitHub: nitish-bhai/JEE-MAINS-CONTENT)","official","true"
"Suppose that the number of terms in an A.P. is 2k, k N. If the sum of all odd terms of the A.P. is 40, the sum of all even terms is 55 and the last term of the A.P. exceeds the first term by 27, then k is  equal to","5","8","6","4","0","Sol.  a 1 , a 2 , a 3  2k   A. P. ,  , a 2k    a 1  = 27   [2a 1  + (k   1)2d] = 40,  [2a 2  + (k   1)2d] = 55,  d =  a 1   =  (k   1)d = kd d =       =   9k =10k   5 k = 5","hard","jee-main","mathematics","Mathematics","2025","JEE Main 2025 Jan 22 Shift 2 (GitHub: nitish-bhai/JEE-MAINS-CONTENT)","official","true"
"Let a line pass through two distinct points P( 2,  1, 3) and Q, and be par allel to the vector . If the distance of  the poi nt Q from the  pointR(1, 3, 3) is 5, then the square of the area of  PQR is equal  to:","136","140","144","148","0","Sol.   par allelto  , R(1, 3, 3) Q(3    2, 2     1, 2  +3),      R   {0}  = 5 =  17 2   34  +25 = 25    Q(4, 3, 7), P( 2,  1, 3), R(1, 3, 3) Area of  PQR = [PQR] =  [PQR] =  [PQR] =  [PQR] 2  = 136","hard","jee-main","mathematics","Mathematics","2025","JEE Main 2025 Jan 22 Shift 2 (GitHub: nitish-bhai/JEE-MAINS-CONTENT)","official","true"
"If =  ,  then the value of  equals :","Sol.","e","e","e","0","This is a JEE Main 2025 question. The correct answer is option null. Official solution will be added soon.","hard","jee-main","mathematics","Mathematics","2025","JEE Main 2025 Jan 22 Shift 2 (GitHub: nitish-bhai/JEE-MAINS-CONTENT)","official","true"
"Let f(x) = dt, x    R . Then the numbers of local  maximum and local minimum  points of f, respectivel y, are :","2 and 3","3 and 2","1 and 3","2 and 2","0","Sol.  f   (x) =  = = Maxima at  x   { }  Minima at x   { }  2 points of maxima and 3 points of  minima.","hard","jee-main","mathematics","Mathematics","2025","JEE Main 2025 Jan 22 Shift 2 (GitHub: nitish-bhai/JEE-MAINS-CONTENT)","official","true"
"If x = f(y) is the solution of the differential equation (1 + y 2 )  +  = 0, y    with f(0) = 1,then f  is equal to :","e","e","e","e","3","Sol.  I.F. =  Put tan 1 y = t,    y = 0,  x= 1 1 = 1 + c   c = 0   y =  ,  x = e /6","hard","jee-main","mathematics","Mathematics","2025","JEE Main 2025 Jan 22 Shift 2 (GitHub: nitish-bhai/JEE-MAINS-CONTENT)","official","true"
"If  dx  = g(x)+   C,   wher e C is the constant  of integration, then  equals :","Option A","Option B","Option C","Option D","2","Sol.    =   = g(x) + C  Note :  assuming g(x) =  g(1/2) =    =","hard","jee-main","mathematics","Mathematics","2025","JEE Main 2025 Jan 22 Shift 2 (GitHub: nitish-bhai/JEE-MAINS-CONTENT)","official","true"
"Let   and   be the distinct  roots of 2x 2  + (cos )x  1 = 0,     (0, 2 ). If m and M ar e the minimum and the maximum val ues of  ,  then 16(M + m) equals :","24","25","27","17","1","Sol.  ( 2   +  2 ) 2    2 2 2   [(   +  ) 2    2  ] 2     2(  ) 2   , 16(M +m) = 25","hard","jee-main","mathematics","Mathematics","2025","JEE Main 2025 Jan 22 Shift 2 (GitHub: nitish-bhai/JEE-MAINS-CONTENT)","official","true"
