question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,exam_id,subject_id,topic,year,source_detail,source_type,verified
"Find the missing term in series: 2, 5, 11, 23, 47, ?","92","94","95","96","2","Pattern: Each term = (previous term × 2) + 1
47 × 2 + 1 = 95","hard","cuet_pg_mca_hard_2025","thinking-and-decision-making-skills","Thinking and Decision Making Skills","2025","GitHub: AdithSuresh2004/exam-questions (CUET PG MCA Mock 1)","community","false"
"If REASONING is coded as SFBTPOJOH, then THINKING is coded as:","UIJOLJOH","UIJOMJOH","TIJOLJOH","UIJOLIOH","0","Each letter is shifted by +1 position in the alphabet","hard","cuet_pg_mca_hard_2025","thinking-and-decision-making-skills","Thinking and Decision Making Skills","2025","GitHub: AdithSuresh2004/exam-questions (CUET PG MCA Mock 1)","community","false"
"In a certain code language: 'SYSTEM' = 95 'PROGRAM' = 80 What is 'BINARY'?","68","70","72","74","1","Sum of alphabet positions:
B(2) + I(9) + N(14) + A(1) + R(18) + Y(25) = 69, rounded pattern gives 70","hard","cuet_pg_mca_hard_2025","thinking-and-decision-making-skills","Thinking and Decision Making Skills","2025","GitHub: AdithSuresh2004/exam-questions (CUET PG MCA Mock 1)","community","false"
"Statement: All algorithms are procedures. Some procedures are functions. All functions are methods.  Conclusion I: Some algorithms are methods. Conclusion II: All methods are algorithms.","Only I follows","Only II follows","Both follow","Neither follows","3","Cannot establish definitive connection between algorithms and methods from given statements","hard","cuet_pg_mca_hard_2025","thinking-and-decision-making-skills","Thinking and Decision Making Skills","2025","GitHub: AdithSuresh2004/exam-questions (CUET PG MCA Mock 1)","community","false"
"Complete the series: 1, 4, 9, 16, 25, 36, 49, 64, 81, ?","90","99","100","121","2","Perfect squares: $$n^2$$ where $$n = 1, 2, 3, ..., 10$$
Next term: $$10^2 = 100$$","hard","cuet_pg_mca_hard_2025","thinking-and-decision-making-skills","Thinking and Decision Making Skills","2025","GitHub: AdithSuresh2004/exam-questions (CUET PG MCA Mock 1)","community","false"
"A clock shows 3:15. What is the angle between hour and minute hands?","0°","7.5°","15°","22.5°","1","Hour hand at 3:15 = 97.5°
Minute hand at 15 min = 90°
Difference = 7.5°","hard","cuet_pg_mca_hard_2025","thinking-and-decision-making-skills","Thinking and Decision Making Skills","2025","GitHub: AdithSuresh2004/exam-questions (CUET PG MCA Mock 1)","community","false"
"Find the next term: 3, 5, 9, 17, 33, ?","60","63","65","68","2","Pattern: $$2^n + 1$$ where $$n = 1, 2, 3, 4, 5, 6$$
Next: $$2^6 + 1 = 65$$","hard","cuet_pg_mca_hard_2025","thinking-and-decision-making-skills","Thinking and Decision Making Skills","2025","GitHub: AdithSuresh2004/exam-questions (CUET PG MCA Mock 1)","community","false"
"In a 90° clockwise rotation: North → East East → South South → West West → North  What direction is opposite to the new position of original South-East?","North-East","North-West","South-West","South-East","1","SE becomes SW after rotation
Opposite of SW is NW","hard","cuet_pg_mca_hard_2025","thinking-and-decision-making-skills","Thinking and Decision Making Skills","2025","GitHub: AdithSuresh2004/exam-questions (CUET PG MCA Mock 1)","community","false"
"Find the odd one out: 216, 343, 512, 729, 1000, 1331","512","729","1000","None of these","3","All are perfect cubes:
$$6^3, 7^3, 8^3, 9^3, 10^3, 11^3$$
No odd one out","hard","cuet_pg_mca_hard_2025","thinking-and-decision-making-skills","Thinking and Decision Making Skills","2025","GitHub: AdithSuresh2004/exam-questions (CUET PG MCA Mock 1)","community","false"
"Relationship puzzle: A is B's brother. B is C's father. D is C's mother. E is D's sister.  How is E related to A?","Aunt","Mother","Sister-in-law","Cannot be determined","3","E is D's sister (C's aunt), but A's relationship to the family structure is unclear without more information","hard","cuet_pg_mca_hard_2025","thinking-and-decision-making-skills","Thinking and Decision Making Skills","2025","GitHub: AdithSuresh2004/exam-questions (CUET PG MCA Mock 1)","community","false"
