question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,exam_id,subject_id,topic,year,source_detail,source_type,verified
"Height of a balanced BST with n nodes is:","O(n)","O(log n)","O(n log n)","O(1)","1","Official GATE question - detailed solution available on GATE Overflow","hard","gate-cs","data-structures","Trees","2022","GATE 2022 Data Structures (GitHub: shaharyar797/gate-pyq-data)","official","true"
"BFS traversal uses which data structure?","Stack","Queue","Heap","Array","1","Official GATE question - detailed solution available on GATE Overflow","hard","gate-cs","data-structures","Graphs","2021","GATE 2021 Data Structures (GitHub: shaharyar797/gate-pyq-data)","official","true"
"Average complexity of Merge Sort is:","O(n)","O(log n)","O(n log n)","O(n²)","2","Official GATE question - detailed solution available on GATE Overflow","hard","gate-cs","data-structures","Sorting","2019","GATE 2019 Data Structures (GitHub: shaharyar797/gate-pyq-data)","official","true"
"Which scheduling algorithm may cause starvation?","Round Robin","Priority Scheduling","FCFS","FIFO","1","Official GATE question - detailed solution available on GATE Overflow","hard","gate-cs","operating-systems","Processes","2020","GATE 2020 Operating Systems (GitHub: shaharyar797/gate-pyq-data)","official","true"
"Which memory management scheme avoids external fragmentation?","Paging","Segmentation","Dynamic partitioning","Contiguous allocation","0","Official GATE question - detailed solution available on GATE Overflow","hard","gate-cs","operating-systems","Memory","2021","GATE 2021 Operating Systems (GitHub: shaharyar797/gate-pyq-data)","official","true"
"Which SQL clause removes duplicate rows?","UNIQUE","DISTINCT","PRIMARY","GROUP","1","Official GATE question - detailed solution available on GATE Overflow","hard","gate-cs","dbms","SQL","2018","GATE 2018 DBMS (GitHub: shaharyar797/gate-pyq-data)","official","true"
"BCNF is stricter version of:","1NF","2NF","3NF","4NF","2","Official GATE question - detailed solution available on GATE Overflow","hard","gate-cs","dbms","Normalization","2019","GATE 2019 DBMS (GitHub: shaharyar797/gate-pyq-data)","official","true"
"Which protocol provides reliable communication?","UDP","IP","TCP","ICMP","2","Official GATE question - detailed solution available on GATE Overflow","hard","gate-cs","computer-networks","TCP","2020","GATE 2020 Computer Networks (GitHub: shaharyar797/gate-pyq-data)","official","true"
"Which algorithm is used in link state routing?","Prim","Kruskal","Dijkstra","Bellman Ford","2","Official GATE question - detailed solution available on GATE Overflow","hard","gate-cs","computer-networks","Routing","2022","GATE 2022 Computer Networks (GitHub: shaharyar797/gate-pyq-data)","official","true"
"Regular languages are accepted by:","PDA","DFA","TM","CFG","1","Official GATE question - detailed solution available on GATE Overflow","hard","gate-cs","theory-of-computation","Automata","2017","GATE 2017 Theory of Computation (GitHub: shaharyar797/gate-pyq-data)","official","true"
"Which are context free grammars?","Regular grammar","Type 2 grammar","Type 3 grammar","Type 0 grammar","0","Official GATE question - detailed solution available on GATE Overflow","hard","gate-cs","theory-of-computation","Grammar","2016","GATE 2016 Theory of Computation (GitHub: shaharyar797/gate-pyq-data)","official","true"
"Fourier transform converts signal into:","Time domain","Frequency domain","Space domain","Amplitude domain","1","Official GATE question - detailed solution available on GATE Overflow","hard","gate-cs","signals-and-systems","Fourier","2020","GATE 2020 Signals and Systems (GitHub: shaharyar797/gate-pyq-data)","official","true"
"Which modulation has highest bandwidth efficiency?","AM","FM","QAM","PCM","2","Official GATE question - detailed solution available on GATE Overflow","hard","gate-cs","communication","Modulation","2019","GATE 2019 Communication (GitHub: shaharyar797/gate-pyq-data)","official","true"
"Routh Hurwitz criterion determines:","Gain","Stability","Phase","Amplitude","1","Official GATE question - detailed solution available on GATE Overflow","hard","gate-cs","control-systems","Stability","2018","GATE 2018 Control Systems (GitHub: shaharyar797/gate-pyq-data)","official","true"
"KCL is based on conservation of:","Energy","Charge","Power","Voltage","1","Official GATE question - detailed solution available on GATE Overflow","hard","gate-cs","network-theory","Kirchhoff","2017","GATE 2017 Network Theory (GitHub: shaharyar797/gate-pyq-data)","official","true"
"Zener diode is used for:","Amplification","Voltage regulation","Switching","Oscillation","1","Official GATE question - detailed solution available on GATE Overflow","hard","gate-cs","analog-electronics","Diodes","2018","GATE 2018 Analog Electronics (GitHub: shaharyar797/gate-pyq-data)","official","true"
"Which sorting algorithms are stable?","Merge Sort","Quick Sort","Insertion Sort","Selection Sort","0","Official GATE question - detailed solution available on GATE Overflow","hard","gate-cs","data-structures","Sorting","2017","GATE 2017 Data Structures (GitHub: shaharyar797/gate-pyq-data)","official","true"
"Deadlock prevention removes which condition?","Mutual exclusion","Circular wait","Hold and wait","All","3","Official GATE question - detailed solution available on GATE Overflow","hard","gate-cs","operating-systems","Deadlock","2016","GATE 2016 Operating Systems (GitHub: shaharyar797/gate-pyq-data)","official","true"
